성별,친환경 화장품의 가장 큰 장점이 무엇이라고 생각하나요,친환경 화장품의 가장 큰 단점이 무엇이라고 생각하나요?,친환경 화장품을 구매해본 경험이 있나요?,친환경 화장품을 구매할 의향이 있나요?
여,환경 보호,높은 가격,네,매우 그렇다
여,환경 보호,제품 다양성 부족,아니요,매우 그렇다
여,환경 보호,높은 가격,아니요,그렇지 않다
여,환경 보호,높은 가격,네,보통이다
남,환경 보호,높은 가격,아니요,보통이다
남,환경 보호,효능 차이,아니요,전혀 그렇지 않다
여,환경 보호,높은 가격,아니요,보통이다
남,환경 보호,높은 가격,아니요,전혀 그렇지 않다
여,기분이 좋음,제품 다양성 부족,아니요,전혀 그렇지 않다
남,환경 보호,효능 차이,아니요,전혀 그렇지 않다
여,환경 보호,구매 접근성,아니요,그렇다
여,환경 보호,효능차이,네,보통이다
여,환경 보호,높은 가격,아니요,그렇다
여,환경 보호,높은 가격,아니요,보통이다
여,환경 보호,높은 가격,아니요,보통이다
남,유해 물질 제외,높은 가격,아니요,그렇지 않다
여,재생 가능 포장재 사용,제품 다양성 부족,네,그렇다
여,환경 보호,높은 가격,네,그렇다
여,동물 실험 없음,높은 가격,네,그렇지 않다
남,마음이 괜찮음,높은 가격,네,그렇지 않다
여,피부 건강,높은 가격,네,매우 그렇다
여,유해 물질 제외,높은 가격,네,전혀 그렇지 않다
여,환경 보호,높은 가격,아니요,보통이다
남,피부 건강,높은 가격,아니요,그렇지 않다
여,환경 보호,효능 차이,네,보통이다
여,환경 보호,높은 가격,네,그렇다
여,환경 보호,높은 가격,네,매우 그렇다
여,피부 건강,높은 가격,아니요,그렇지 않다
남,환경 보호,높은 가격,아니요,전혀 그렇지 않다
여,유해 물질 제외,높은 가격,네,매우 그렇다
여,피부 건강,제품 다양성 부족,네,그렇지 않다
여,유해 물질 제외,높은 가격,네,그렇지 않다
여,유해 물질 제외,구매 접근성,네,보통이다
여,환경 보호,높은 가격,네,매우 그렇다
여,환경 보호,높은 가격,아니요,그렇다
여,유해 물질 제외,제품 다양성 부족,네,그렇지 않다
여,환경 보호,높은 가격,네,전혀 그렇지 않다
남,피부 건강,효능 차이,네,그렇지 않다
남,환경 보호,제품 다양성 부족,아니요,그렇지 않다
여,환경 보호,제품 다양성 부족,네,그렇지 않다
